Plot,Tree,Azimuth,Distance,Species,Snag,Height,DBH_2010,Biomass_J_2010,Biomass_Y_2010,Biomass_C_2010,Biomass_W_2010,Biomass_mean_2010,Volume_W_2010,DBH_2012,Biomass_J_2012,Biomass_Y_2012,Biomass_C_2012,Biomass_W_2012,Biomass_mean_2012,Volume_W_2012,DBH_2015,Biomass_J_2015,Biomass_Y_2015,Biomass_C_2015,Biomass_W_2015,Biomass_mean_2015,Volume_W_2015,DBH_2017,Biomass_J_2017,Biomass_Y_2017,Biomass_C_2017,Biomass_W_2017,Biomass_mean_2017,Volume_W_2017,DBH_2021,Biomass_J_2021,Biomass_Y_2021,Biomass_C_2021,Biomass_W_2021,Biomass_mean_2021,Volume_W_2021,DBH_2023,Biomass_J_2023,Biomass_Y_2023,Biomass_C_2023,Biomass_W_2023,Biomass_mean_2023,Volume_W_2023,DBH_2025,Biomass_J_2025,Biomass_Y_2025,Biomass_C_2025,Biomass_W_2025,Biomass_mean_2025,Volume_W_2025,DBH_2026,Biomass_J_2026,Biomass_Y_2026,Biomass_C_2026,Biomass_W_2026,Biomass_mean_2026,Volume_W_2026
HL_001_01,1,84,0.7,PIRU,,14.72417158,17.3,48.33981716,44.58274739,44.34180773,49.66261041,46.73174567,0.165129408,17.74,51.25598626,47.27226584,47.01679115,52.65857891,49.55090554,0.175091077,18.4,55.81419762,51.47620366,51.19800952,57.34152329,53.95748352,0.190661983,18.84,58.97680705,54.3930086,54.0990511,60.59067584,57.01488565,0.201465496,19.72,65.60266235,60.50388883,60.17690615,67.39784413,63.42032537,0.224099499,20.16,69.06743617,63.69937332,63.35512121,70.95742963,66.76984008,0.235935209,20.6,72.63444044,66.9891427,66.6271116,74.62204306,70.21818445,0.248120139,20.82,74.45650944,68.66959676,68.29848394,76.49397201,71.97964054,0.254344349
HL_001_02,2,102,4.3,PIRU,,12.63197018,12.2,21.40558544,19.74583073,19.68553947,21.61873643,20.61392302,0.071797249,12.64,23.24956211,21.44682842,21.38134339,23.48107492,22.38970221,0.077982197,13.3,26.17997692,24.15002357,24.0762847,26.44067,25.2117388,0.087811208,13.74,28.24467188,26.0546254,25.97507108,28.52592463,27.20007325,0.094736476,14.62,32.64501213,30.11377033,30.02182196,32.97008227,31.43767167,0.109495816,15.06,34.98253352,32.27004408,32.1715118,35.33088006,33.68874237,0.117336181,15.5,37.41284173,34.51191009,34.40653258,37.78538862,36.02916826,0.125487766,15.72,38.66307039,35.66519803,35.5562991,39.04806671,37.23315856,0.129681203
HL_001_03,3,110,5.3,PIST,,22.07367452,43.2,380.2001563,352.7348723,391.9022349,327.2539622,363.0228064,1.463841499,43.96,396.6925736,368.0358936,408.9022678,341.4496662,378.7701003,1.52734038,45.1,422.2088942,391.7089404,435.2039484,363.4126162,403.1335998,1.625582973,45.86,439.7427473,407.9761652,453.2774713,378.504727,419.8752777,1.693091577,47.38,476.079322,441.6878217,490.7324398,409.7811162,454.5701749,1.832994166,48.14,494.88807,459.1378443,510.1200971,425.9705817,472.5291483,1.905411353,48.9,514.1277637,476.9876815,529.9519642,442.5309799,490.8995973,1.979487761,49.28,523.9101368,486.0633856,540.0354263,450.951072,500.2400051,2.017151721
HL_001_04,4,112,6.9,ACRU,,14.96676187,13.3,33.6116771,29.99242152,31.12606055,28.24686079,30.74425499,0.084029904,13.9,37.30894519,33.29157326,34.54991204,31.35400171,34.12610805,0.093273153,14.8,43.2767511,38.61677468,40.07639284,36.36927608,39.58479867,0.108192794,15.4,47.54161421,42.42240364,44.02586513,39.95341722,43.48582505,0.118855042,16.6,56.77358327,50.66028796,52.57512101,47.71185618,51.9302121,0.14193516,17.2,61.74716127,55.09831845,57.18089803,51.89159303,56.4794927,0.154369211,17.8,66.96332563,59.75281396,62.01132191,56.27519662,61.25066453,0.167409732,18.1,69.66333539,62.16209067,64.51166329,58.54425328,63.72033566,0.174159814
HL_001_05,5,126,8.61,PIRU,,15.558722,19.8,66.22505083,61.07300704,60.68522809,68.21598701,64.04981824,0.254726092,20.24,69.70835677,64.28532572,63.87715037,71.80401223,67.41871128,0.268124178,20.9,75.12548005,69.2810185,68.84112334,77.38399151,72.65790335,0.288960442,21.34,78.86607208,72.73060745,72.26880935,81.23703766,76.27563164,0.303348145,22.22,86.66050902,79.9186684,79.41123019,89.26580022,83.81405196,0.333328439,22.66,90.71576237,83.65843928,83.12725565,93.44296742,87.73610619,0.348926446,23.1,94.87729577,87.49622204,86.94067067,97.72960978,91.76094957,0.364933246,23.32,96.99813076,89.45206456,88.8840947,99.91420383,93.81212347,0.373090763
HL_001_06,6,138,5.2,PIRU,X,9.94319859,7.2,0,0,0,0,0,0,7.64,0,0,0,0,0,0,8.3,0,0,0,0,0,0,8.74,0,0,0,0,0,0,9.62,0,0,0,0,0,0,10.06,13.65115342,12.59609847,12.59829693,13.21370602,13.01481371,0.043644838,10.5,15.08446388,13.91863284,13.92106213,14.60108644,14.38131132,0.048227352,10.72,15.83191229,14.6083133,14.61086296,15.32458307,15.0939179,0.05061706
HL_001_07,7,152,5.9,TSCA,,11.39354577,13.6,25.66376316,22.94962253,23.81410341,33.21983967,26.41183219,0.078551846,14.04,27.77369313,24.83641116,25.77196478,35.95098767,28.58326419,0.085009936,14.7,31.12706165,27.83513513,28.88364658,40.29167473,32.03437953,0.095273952,15.14,33.49046967,29.94859455,31.07671712,43.35093126,34.46667815,0.10250789,16.02,38.53065999,34.45574592,35.75364672,49.87508415,39.6537842,0.117934943,16.46,41.21030927,36.85200165,38.24016612,53.34369158,42.41154216,0.126136835,16.9,43.99820514,39.34505606,40.82713048,56.95241619,45.28070197,0.134670048,17.12,45.43317863,40.62827005,42.15868139,58.80988304,46.75750328,0.139062226
HL_001_08,8,148,3.6,PIRU,,12.63197018,12.2,21.40558544,19.74583073,19.68553947,21.61873643,20.61392302,0.071797249,12.64,23.24956211,21.44682842,21.38134339,23.48107492,22.38970221,0.077982197,13.3,26.17997692,24.15002357,24.0762847,26.44067,25.2117388,0.087811208,13.74,28.24467188,26.0546254,25.97507108,28.52592463,27.20007325,0.094736476,14.62,32.64501213,30.11377033,30.02182196,32.97008227,31.43767167,0.109495816,15.06,34.98253352,32.27004408,32.1715118,35.33088006,33.68874237,0.117336181,15.5,37.41284173,34.51191009,34.40653258,37.78538862,36.02916826,0.125487766,15.72,38.66307039,35.66519803,35.5562991,39.04806671,37.23315856,0.129681203
HL_001_09,9,158,7.3,BEPA,,15.08494595,12.3,27.93851031,26.83857934,26.00812255,26.95111983,26.93408301,0.045931499,12.9,31.26974865,30.0386678,29.10919179,30.16462703,30.14555882,0.051408125,13.8,36.67724394,35.23327159,34.14306077,35.38101301,35.35864733,0.060298162,14.4,40.56129354,38.96440729,37.75874524,39.12779424,39.10306008,0.066683621,15.6,49.01484732,47.08514713,45.62820786,47.28258626,47.25269714,0.080581441,16.2,53.59109458,51.48122888,49.88826319,51.69710182,51.66442212,0.088104888,16.8,58.40468,56.10530485,54.36925799,56.34056763,56.30495262,0.096018524,17.1,60.90146885,58.50379585,56.69353332,58.74911607,58.71197852,0.100123297
HL_001_10,10,162,5,PIRU,,12.49016775,11.9,20.19799476,18.63212961,18.5782524,20.3651878,19.44339114,0.067621821,12.34,21.98287164,20.27863253,20.21999425,22.16483937,21.16158445,0.073597495,13,24.82333668,22.89888832,22.83267324,25.02881694,23.89592879,0.083107222,13.44,26.82722128,24.74742022,24.67585987,27.04928911,25.82494762,0.089816122,14.32,31.103981,28.69262083,28.60965243,31.36145058,29.94192621,0.104134488,14.76,33.37875921,30.79104511,30.70200884,33.65505874,32.13171798,0.111750325,15.2,35.74570585,32.97449238,32.87914239,36.04159826,34.41023472,0.119674738,15.42,36.96402556,34.09836091,33.99976111,37.27000286,35.58303761,0.123753608
